player,pos,g,ast_per_game,blk_per_game,drb_per_game,e_fg_percent,fg_per_game,fg_percent,fga_per_game,ft_per_game,ft_percent,fta_per_game,gs,mp_per_game,orb_per_game,pf_per_game,pts_per_game,stl_per_game,tov_per_game,trb_per_game,x2p_per_game,x2p_percent,x2pa_per_game,x3p_per_game,x3p_percent,x3pa_per_game,all_star_selections,major_award_count,278.225,210.797,267.271
Johnny Horan,F,19,0.1,0,0,0.286,0.6,0.286,2.2,0.5,0.909,0.6,0,4.9,0,1.1,1.8,0,0,0.5,0.6,0.286,2.2,0,0,0,0,0,,,
Don Hanrahan,F,18,0.6,0,0,0.344,0.6,0.344,1.8,0.6,0.733,0.8,0,6.7,0,1.3,1.8,0,0,1.7,0.6,0.344,1.8,0,0,0,0,0,,,
John Rennicke,G,6,0.2,0,0,0.222,0.7,0.222,3,0.5,0.333,1.5,0,9,0,1.2,1.8,0,0,1.5,0.7,0.222,3,0,0,0,0,0,,,
Ed Beach,F,12,0.3,0,0,0.211,0.7,0.211,3.2,0.5,0.667,0.8,0,0,0,1.2,1.8,0,0,2.1,0.7,0.211,3.2,0,0,0,0,0,,,
Dale Hamilton,G-F,14,1.2,0,0,0.242,0.6,0.242,2.4,0.6,0.474,1.4,0,0,0,2.1,1.8,0,0,0,0.6,0.242,2.4,0,0,0,0,0,,,
Earl Gardner,F,50,0.4,0,0,0.376,0.8,0.376,2,0.3,0.464,0.6,0,0,0,1,1.8,0,0,0,0.8,0.376,2,0,0,0,0,0,,,
Bill Davis,F,47,0.2,0,0,0.24,0.7,0.24,3.1,0.3,0.341,0.9,0,0,0,2,1.8,0,0,0,0.7,0.24,3.1,0,0,0,0,0,,,
Gino Sovran,F-G,6,0.2,0,0,0.333,0.8,0.333,2.5,0.2,0.5,0.3,0,0,0,0.8,1.8,0,0,0,0.8,0.333,2.5,0,0,0,0,0,,,
Brendan McCann,PG,41,1.585,0,0,0.203,0.556,0.203,2.776,0.693,0.691,0.956,0,8.083,0,0.863,1.795,0,0,1.263,0.556,0.203,2.776,0,0,0,0,0,,,
Craig Brackins,PF,17,0.547,0.082,0.7,0.306,0.724,0.269,2.912,0.082,0.412,0.082,0.824,7.129,0.453,0.506,1.794,0.053,0.247,1.135,0.559,0.27,2.053,0.165,0.274,0.794,0,0,,,
Arinze Onuaku,PF,19,0.505,0.2,1.253,0.534,0.811,0.534,1.2,0.211,0.25,0.516,0.316,6.621,0.611,0.642,1.789,0.063,0.274,1.863,0.811,0.534,1.2,0,0,0,0,0,,,
Jamaal Franklin,SG,24,0.388,0.125,0.825,0.508,0.737,0.421,1.75,0.088,0.875,0.088,0,7.275,0.212,1.125,1.787,0.175,0.562,1.05,0.438,0.344,1.138,0.212,0.461,0.525,0,0,,,
Michael Hawkins,PG,75,1.552,0,0.637,0.428,0.667,0.358,1.729,0.203,0.709,0.257,0,8.544,0.271,0.939,1.781,0.291,0.675,0.908,0.444,0.403,0.969,0.223,0.308,0.799,0,0,,,
Miye Oni,SF,80,0.447,0.092,0.973,0.457,0.575,0.33,1.735,0.118,0.662,0.15,0.125,8.402,0.353,0.935,1.78,0.185,0.272,1.372,0.15,0.555,0.318,0.512,0.301,1.418,0,0,,,
Scott Machado,PG,10,0.92,0,0.12,0.6,0.7,0.567,1.2,0.3,1,0.3,0,4.02,0,0.2,1.78,0.3,0.78,0.12,0.62,0.6,1,0.12,0.4,0.24,0,0,,,
John Stroeder,PF,46,0.511,0.311,1.176,0.371,0.667,0.371,1.802,0.446,0.594,0.624,0,6.361,0.643,1.135,1.78,0.089,0.6,1.82,0.667,0.38,1.802,0,0,0,0,0,,,
Dan O'Sullivan,C,45,0.222,0.089,0.969,0.422,0.582,0.422,1.518,0.564,0.711,0.764,0.222,6.571,0.48,1.033,1.776,0.071,0.262,1.449,0.582,0.423,1.496,0,0,0.022,0,0,,,
Miloš Babić,PF,21,0.471,0.057,0.6,0.379,0.586,0.379,1.514,0.643,0.655,0.957,0,4.129,0.371,0.343,1.771,0.1,0.486,0.971,0.586,0.379,1.514,0,0,0,0,0,,,
Amal McCaskill,C,114,0.287,0.304,1.189,0.374,0.708,0.374,1.889,0.354,0.646,0.639,1.702,8.511,0.644,1.165,1.768,0.21,0.434,1.885,0.708,0.379,1.875,0,0,0.015,0,0,,,
Luke Schenscher,C,31,0.294,0.271,1.206,0.505,0.729,0.505,1.584,0.306,0.452,0.665,0,8.635,0.577,1.526,1.765,0.135,0.335,1.784,0.729,0.505,1.584,0,0,0,0,0,,,
D.J. Mbenga,C,234,0.162,0.602,0.939,0.463,0.766,0.463,1.641,0.218,0.605,0.384,0.667,6.688,0.565,1.232,1.758,0.141,0.374,1.494,0.766,0.466,1.632,0,0,0,0,0,,,
Esteban Batista,PF,70,0.137,0.163,1.556,0.439,0.6,0.439,1.363,0.544,0.613,0.826,2.443,8.236,0.989,1.733,1.744,0.281,0.626,2.463,0.6,0.443,1.363,0,0,0,0,0,,,
Chris Engler,C,195,0.232,0.224,1.25,0.411,0.715,0.411,1.702,0.354,0.622,0.489,0.513,7.195,0.714,1.437,1.742,0.172,0.44,1.965,0.715,0.411,1.702,0,0,0,0,0,,,
Reece Gaines,PG,71,0.728,0.054,0.606,0.362,0.696,0.341,2.11,0.261,0.607,0.485,0.535,8.531,0.107,0.575,1.741,0.237,0.373,0.742,0.583,0.363,1.708,0.113,0.245,0.401,0,0,,,
Aleksandar Radojević,C,15,0.46,0.22,1.68,0.31,0.54,0.31,1.74,0.68,0.66,1.04,4.8,10.16,0.78,2.5,1.74,0.14,1.38,2.38,0.54,0.31,1.74,0,0,0,0,0,,,
Xavier Sneed,SF,13,0.469,0.092,0.677,0.373,0.538,0.292,1.531,0.308,0.308,0.308,0,6.669,0.138,0.692,1.738,0,0.246,0.885,0.223,0.5,0.446,0.315,0.24,1.085,0,0,,,
Bob O'Brien,F,46,0.209,0,0,0.205,0.591,0.205,2.865,0.596,0.472,1.252,0,0,0,1.539,1.73,0,0,0,0.591,0.205,2.865,0,0,0,0,0,,,
Geert Hammink,C,8,0.25,0,0.475,0.458,0.475,0.458,1.275,0.775,0.553,1.15,0,3.35,0.35,0.475,1.725,0,0.225,0.9,0.475,0.458,1.275,0,0,0,0,0,,,
Michael Ruffin,PF,414,0.607,0.461,2.192,0.409,0.609,0.409,1.528,0.487,0.461,1.038,7.338,14.405,1.754,2.267,1.721,0.474,0.655,3.935,0.609,0.412,1.508,0,0,0,0,0,,,
Bruno Šundov,C,102,0.173,0.125,0.725,0.357,0.759,0.345,2.186,0.096,0.432,0.194,0.431,5.146,0.321,1.027,1.704,0.128,0.293,1.068,0.733,0.352,1.934,0.051,0.132,0.217,0,0,,,
Leonard Miller,SF,17,0.5,0.1,0.9,0.7,0.8,0.65,1.2,0.1,0.5,0.1,0,3.1,0.3,0.3,1.7,0.1,0.1,1.2,0.6,0.733,0.9,0.1,0.4,0.3,0,0,,,
Kevin Hervey,PF,10,0.5,0.1,1.1,0.315,0.7,0.259,2.7,0,0,0,0,5.2,0.1,0.4,1.7,0.1,0,1.2,0.4,0.571,0.7,0.3,0.15,2,0,0,,,
Deng Adel,SF,19,0.3,0.2,0.8,0.389,0.6,0.306,1.9,0.2,1,0.2,3,10.2,0.2,0.7,1.7,0.1,0.3,1,0.3,0.385,0.7,0.3,0.261,1.2,0,0,,,
Trevon Duval,PG,3,0.7,0,0.3,0.833,0.7,0.667,1,0,0,0,0,2,0,0,1.7,0,0,0.3,0.3,0.5,0.7,0.3,1,0.3,0,0,,,
Matt Williams,SG,3,0,0,0.3,0.417,0.7,0.333,2,0,0,0,0,3.7,0,0.3,1.7,0,0.3,0.3,0.3,1,0.3,0.3,0.2,1.7,0,0,,,
Joel Bolomboy,PF,18,0.133,0.133,0.967,0.563,0.7,0.542,1.2,0.367,0.5,0.667,0,5.033,0.533,0.233,1.7,0.167,0.233,1.5,0.633,0.645,0.933,0.067,0.167,0.267,0,0,,,
Josh Akognon,PG,3,0.3,0,0.3,0.625,0.7,0.5,1.3,0,0,0,0,3,0,1,1.7,0,0,0.3,0.3,0.5,0.7,0.3,0.5,0.7,0,0,,,
Cedric Jackson,PG,12,1.2,0.2,0.5,0.325,0.5,0.3,1.7,0.6,0.583,1,0,6.2,0.2,0.6,1.7,0.3,0.9,0.7,0.4,0.357,1.2,0.1,0.167,0.5,0,0,,,
Damir Markota,PF,30,0.2,0,0.7,0.423,0.6,0.365,1.7,0.2,0.636,0.4,0,5.7,0.4,0.7,1.7,0.1,0.5,1,0.4,0.361,1.2,0.2,0.375,0.5,0,0,,,
Gary Alexander,PF,11,0.2,0,0.7,0.571,0.7,0.571,1.3,0.3,0.333,0.8,0,5,0.6,0.9,1.7,0.3,0.7,1.4,0.7,0.571,1.3,0,0,0,0,0,,,
Mel McCants,SF,13,0.2,0.1,0.4,0.308,0.6,0.308,2,0.5,0.75,0.6,0,5,0.1,0.8,1.7,0.2,0.1,0.5,0.6,0.308,2,0,0,0,0,0,,,
Ron Moore,C,14,0.1,0,0.4,0.31,0.6,0.31,2.1,0.4,0.75,0.6,0,4.2,0.1,1.5,1.7,0.4,0.3,0.6,0.6,0.31,2.1,0,0,0,0,0,,,
Ron Rowan,SG,7,0.1,0,0,0.5,0.6,0.444,1.3,0.4,0.75,0.6,0,2.3,0.1,0.1,1.7,0.6,0.4,0.1,0.4,0.375,1.1,0.1,1,0.1,0,0,,,
Ken Austin,SF,7,0.1,0.1,0.1,0.462,0.9,0.462,1.9,0,0,0,0,4,0.3,1,1.7,0.1,0.4,0.4,0.9,0.462,1.9,0,0,0,0,0,,,
Tom Piotrowski,C,18,0.3,0.2,0.6,0.462,0.7,0.462,1.4,0.3,1,0.3,0,4.3,0.3,1.2,1.7,0.1,0.3,0.9,0.7,0.462,1.4,0,0,0,0,0,,,
Myles Patrick,SF,3,0.3,0,0.3,0.4,0.7,0.4,1.7,0.3,0.5,0.7,0,3,0.3,1,1.7,0,0.3,0.7,0.7,0.4,1.7,0,0,0,0,0,,,
Chuckie Williams,SG,22,0.3,0,0,0.298,0.6,0.298,2.1,0.4,0.75,0.5,0,3,0.1,0.3,1.7,0,0,0.2,0.6,0.298,2.1,0,0,0,0,0,,,
Samuel Little,G,3,0.7,0,0.3,0.5,0.7,0.5,1.3,0.3,1,0.3,0,3.7,0,1.3,1.7,0,0.3,0.3,0.7,0.667,1,0,0,0.3,0,0,,,
Harry Dinnel,F-G,11,0.5,0,0,0.316,0.5,0.316,1.7,0.6,0.875,0.7,0,7.9,0,1.3,1.7,0,0.7,2.1,0.5,0.316,1.7,0,0,0,0,0,,,
John Dickson,C,21,0.1,0,0,0.359,0.7,0.359,1.9,0.4,0.615,0.6,0,4.8,0,0.5,1.7,0,0.5,1.6,0.7,0.359,1.9,0,0,0,0,0,,,
Pickles Kennedy,G,7,1.3,0,0,0.19,0.6,0.19,3,0.6,0.667,0.9,0,7.4,0,0.9,1.7,0,0,1.1,0.6,0.19,3,0,0,0,0,0,,,
Phil Martin,SF,7,0.9,0,0,0.263,0.7,0.263,2.7,0.3,1,0.3,0,6.7,0,1,1.7,0,0,1.4,0.7,0.263,2.7,0,0,0,0,0,,,
Earl Dodd,F,9,0.7,0,0,0.222,0.7,0.222,3,0.3,0.6,0.6,0,0,0,1.4,1.7,0,0,0,0.7,0.222,3,0,0,0,0,0,,,
Jalen Lecque,SG,9,0.444,0,0.578,0.272,0.578,0.272,2.133,0.578,1,0.578,0,4.889,0.222,0.333,1.689,0,0.222,0.8,0.578,0.426,1.556,0,0,0.578,0,0,,,
Mike Higgins,SF,18,0.3,0.239,0.161,0.462,0.533,0.462,0.972,0.661,0.711,0.939,0,6.133,0.356,1.2,1.689,0.122,0.294,0.517,0.533,0.462,0.972,0,0,0,0,0,,,
JD Davison,PG,21,1.057,0.152,0.771,0.477,0.629,0.399,1.533,0.21,0.571,0.305,0,5.39,0.229,0.467,1.676,0.152,0.429,1,0.4,0.438,0.8,0.267,0.327,0.733,0,0,,,
Mike Brittain,C,38,0.216,0.337,1.058,0.501,0.7,0.501,1.332,0.284,0.522,0.553,1.684,6.484,0.3,1.511,1.668,0.116,0.553,1.374,0.7,0.501,1.332,0,0,0,0,0,,,
James Thomas,PF,33,0.133,0.2,1.4,0.551,0.7,0.551,1.2,0.333,0.492,0.567,0.667,8.067,0.833,1.467,1.667,0.133,0.4,2.333,0.7,0.551,1.2,0,0,0,0,0,,,
Omar Cook,PG,22,2.082,0.045,0.382,0.295,0.764,0.295,2.327,0.136,0.114,0.273,0,9.7,0.245,0.891,1.664,0.736,0.736,0.627,0.764,0.322,2.068,0,0,0.259,0,0,,,
Emanuel Terry,PF,6,0.7,0,1.8,0.286,0.65,0.286,2,0.35,0.25,0.65,0,6.85,1.85,1.3,1.65,0.65,1.2,3.65,0.65,0.286,2,0,0,0,0,0,,,
Jamison Brewer,SG,54,1.048,0.052,0.663,0.414,0.656,0.383,1.761,0.198,0.276,0.52,0.241,8.67,0.289,0.62,1.648,0.339,0.585,0.904,0.493,0.445,1.135,0.163,0.153,0.593,0,0,,,
Gerald Madkins,SG,48,1.377,0.04,0.506,0.447,0.55,0.362,1.485,0.36,0.759,0.475,0,8.767,0.04,0.721,1.646,0.504,0.61,0.546,0.31,0.354,0.804,0.225,0.384,0.681,0,0,,,
Andrew Gaze,SG,26,0.408,0.1,0.388,0.465,0.588,0.361,1.596,0.081,0.269,0.081,0,4.958,0.1,0.642,1.638,0.154,0.254,0.488,0.308,0.363,0.715,0.381,0.363,0.881,0,0,,,
Isaiah Todd,PF,18,0.433,0.133,1.1,0.295,0.567,0.235,2.467,0.233,0.555,0.433,0.333,7.533,0.3,0.433,1.633,0.267,0.3,1.333,0.3,0.283,0.967,0.267,0.2,1.433,0,0,,,
Chuck Nevitt,C,155,0.126,0.726,1.011,0.43,0.642,0.43,1.435,0.357,0.567,0.597,0,5.321,0.526,1.366,1.629,0.118,0.508,1.541,0.642,0.43,1.435,0,0,0,0,0,,,
John Coker,C,25,0.112,0.096,0.688,0.425,0.712,0.425,1.744,0.224,0.466,0.224,0,5.632,0.48,0.88,1.624,0.104,0.128,1.168,0.712,0.425,1.744,0,0,0,0,0,,,
Stan Kimbrough,PG,13,0.454,0,0.231,0.433,0.7,0.414,1.692,0.154,0.769,0.154,0,5,0.308,0.377,1.623,0.377,0.308,0.538,0.608,0.395,1.531,0.069,0.115,0.162,0,0,,,
Naz Mitrou-Long,SG,20,1.17,0.12,0.63,0.423,0.63,0.348,1.88,0.07,0.7,0.07,0,6.6,0.07,0.59,1.62,0.12,0.57,0.63,0.41,0.511,0.67,0.22,0.219,1.21,0,0,,,
Dereon Seabron,SG,11,0.436,0.109,0.545,0.371,0.564,0.35,1.655,0.436,0.454,0.545,0,6.109,0.2,0.473,1.618,0.164,0,0.745,0.455,0.331,1.436,0.109,0.273,0.164,0,0,,,
Jalen Hood-Schifino,SG,21,0.4,0.1,0.5,0.244,0.5,0.222,2.1,0.6,0.6,1,0,5.2,0.1,0.6,1.6,0.1,0.4,0.6,0.4,0.267,1.4,0.1,0.133,0.7,0,0,,,
Jordan Miller,SF,8,0,0,0.3,0.611,0.6,0.556,1.1,0.3,1,0.3,0,3.5,0.4,0.3,1.6,0,0.1,0.6,0.5,0.571,0.9,0.1,0.5,0.3,0,0,,,
Seth Lundy,SF,9,0,0,0.7,0.324,0.4,0.235,1.9,0.3,0.75,0.4,0,5.8,0.1,0.7,1.6,0,0.1,0.8,0.1,0.25,0.4,0.3,0.231,1.4,0,0,,,
Kevin Pangos,PG,24,1.3,0,0.4,0.391,0.6,0.326,1.9,0.1,0.75,0.2,3,6.9,0.1,0.5,1.6,0.1,0.3,0.5,0.4,0.45,0.8,0.3,0.231,1.1,0,0,,,
Thomas Welsh,C,11,0.5,0,0.4,0.654,0.6,0.538,1.2,0.1,0.5,0.2,0,3.3,0,0.3,1.6,0,0.1,0.4,0.4,0.667,0.5,0.3,0.429,0.6,0,0,,,
James Webb III,SF,10,0.4,0,1.6,0.333,0.6,0.25,2.4,0,0,0,0,12,0.8,1,1.6,0.1,0.4,2.4,0.2,0.4,0.5,0.4,0.211,1.9,0,0,,,
Chris Babb,SG,14,0.2,0,0.9,0.367,0.6,0.267,2.1,0,0,0,0,9.4,0.3,0.9,1.6,0.4,0.2,1.2,0.1,0.667,0.2,0.4,0.222,1.9,0,0,,,
Ryan Reid,PF,5,0,0,0.2,0.8,0.8,0.8,1,0,0,0,0,3.4,0.2,0.2,1.6,0,0.2,0.4,0.8,0.8,1,0,0,0,0,0,,,
Andy Rautins,SG,5,0.6,0,0.2,0.5,0.6,0.429,1.4,0.2,0.5,0.4,0,4.8,0,0,1.6,0.2,1.4,0.2,0.4,0.667,0.6,0.2,0.25,0.8,0,0,,,
Taurean Green,SG-PG,17,0.6,0,0.6,0.32,0.4,0.28,1.5,0.6,0.917,0.7,0,4.4,0,0.3,1.6,0.1,0.5,0.6,0.3,0.357,0.8,0.1,0.182,0.6,0,0,,,
Adam Harrington,SG,19,0.6,0.1,0.4,0.365,0.6,0.297,1.9,0.2,0.75,0.2,0,5.8,0.1,0.4,1.6,0.1,0.1,0.4,0.3,0.261,1.2,0.3,0.357,0.7,0,0,,,
Derek Grimm,SF,9,0,0.1,0.4,0.429,0.4,0.286,1.6,0.2,1,0.2,0,3.8,0,0.7,1.6,0.3,0.3,0.4,0,0,0.2,0.4,0.333,1.3,0,0,,,
Mark Bradtke,C,36,0.2,0.1,1.2,0.431,0.7,0.431,1.6,0.3,0.692,0.4,0,7,0.7,0.9,1.6,0.1,0.3,1.9,0.7,0.431,1.6,0,0,0,0,0,,,
Jeff Webster,SF,11,0.3,0,0.5,0.391,0.7,0.348,2.1,0,0,0,0,5.3,0.2,0.6,1.6,0.4,0.3,0.6,0.5,0.353,1.5,0.2,0.333,0.5,0,0,,,
Matt Wenstrom,C,11,0,0.2,0.5,0.6,0.5,0.6,0.9,0.5,0.6,0.9,0,3.4,0.5,0.6,1.6,0,0.4,1.1,0.5,0.6,0.9,0,0,0,0,0,,,
Demetrius Calip,PG,7,1.7,0,0.6,0.25,0.6,0.222,2.6,0.3,0.667,0.4,0,8.3,0.1,1.1,1.6,0.1,0.7,0.7,0.4,0.231,1.9,0.1,0.2,0.7,0,0,,,
Stephen Thompson,SG,19,0.4,0.2,0.4,0.378,0.7,0.378,1.9,0.2,0.375,0.4,0,4.8,0.6,0.5,1.6,0.3,0.3,1,0.7,0.389,1.9,0,0,0.1,0,0,,,
Mike Gibson,PF,64,0.25,0.15,1,0.387,0.65,0.387,1.65,0.3,0.687,0.4,0,6.1,0.7,1,1.6,0.25,0.3,1.7,0.65,0.387,1.65,0,0,0,0,0,,,
Kenneth Gardner,SF,9,0.3,0.1,0.6,0.333,0.7,0.333,2,0.2,1,0.2,0,5.7,0.9,1,1.6,0.2,0.1,1.4,0.7,0.333,2,0,0,0,0,0,,,
Mark Sibley,SG,28,0.5,0,0.6,0.357,0.7,0.357,2,0.2,0.857,0.3,0,4.4,0.3,0.8,1.6,0.1,0,0.9,0.7,0.357,2,0,0,0,0,0,,,
Mike Macaluso,SF,30,0.1,0,0.5,0.432,0.6,0.432,1.5,0.3,0.588,0.6,0,3.7,0.3,1,1.6,0.2,0,0.8,0.6,0.432,1.5,0,0,0,0,0,,,
Bob Ford,SF,9,0.4,0,1.1,0.294,0.6,0.294,1.9,0.4,0.8,0.6,0,8.2,0.2,0.9,1.6,0,0.4,1.3,0.6,0.294,1.9,0,0,0,0,0,,,
Fran O'Hanlon,G,14,0.9,0,0.1,0.364,0.6,0.364,1.6,0.4,0.667,0.6,0,7.2,0.1,1.3,1.6,0,1.6,0.3,0.6,0.381,1.5,0,0,0.1,0,0,,,
Willie Scott,F,8,0.3,0,0.3,0.4,0.8,0.4,1.9,0.1,0.167,0.8,0,6.4,0.3,2,1.6,0,1,0.5,0.8,0.4,1.9,0,0,0,0,0,,,
Calvin Graham,G,8,0,0,0,0.286,0.5,0.286,1.8,0.6,0.625,1,0,6.5,0,1.5,1.6,0,0.1,1.3,0.5,0.286,1.8,0,0,0,0,0,,,
Doug Kistler,F,5,0,0,0,0.5,0.6,0.5,1.2,0.4,0.5,0.8,0,2.6,0,0.4,1.6,0,0,0.2,0.6,0.5,1.2,0,0,0,0,0,,,
Wayne Stevens,F,8,0.5,0,0,0.158,0.4,0.158,2.4,0.9,0.7,1.3,0,6.1,0,0.5,1.6,0,0,2,0.4,0.158,2.4,0,0,0,0,0,,,
Dan King,F,12,0.3,0,0,0.318,0.6,0.318,1.8,0.4,0.5,0.8,0,8.6,0,0.4,1.6,0,0,2.1,0.6,0.318,1.8,0,0,0,0,0,,,
Fred Diute,SG,7,0.6,0,0,0.095,0.3,0.095,3,1,0.583,1.7,0,10.3,0,1.7,1.6,0,0,1.9,0.3,0.095,3,0,0,0,0,0,,,
Norm Swanson,SF,63,0.5,0,0,0.226,0.5,0.226,2.2,0.6,0.594,1,0,9.7,0,1.4,1.6,0,0,1.7,0.5,0.226,2.2,0,0,0,0,0,,,
Hook Dillon,F,22,0.2,0,0,0.182,0.5,0.182,2.5,0.7,0.727,1,0,0,0,0.9,1.6,0,0,0,0.5,0.182,2.5,0,0,0,0,0,,,
Jim Nolan,C,5,0.8,0,0,0.19,0.8,0.19,4.2,0,0,0,0,0,0,2.8,1.6,0,0,0,0.8,0.19,4.2,0,0,0,0,0,,,
Dan Kraus,G,13,0.5,0,0,0.143,0.4,0.143,2.7,0.8,0.458,1.8,0,0,0,1.8,1.6,0,0,0,0.4,0.143,2.7,0,0,0,0,0,,,
John Murphy,F,20,0,0,0,0.275,0.6,0.275,2,0.5,0.667,0.8,0,0,0,0.4,1.6,0,0,0,0.6,0.275,2,0,0,0,0,0,,,
Tim James,SF,43,0.277,0.235,0.558,0.335,0.595,0.329,1.805,0.349,0.699,0.57,0,6.107,0.549,0.781,1.579,0.07,0.319,1.098,0.595,0.327,1.735,0,0.232,0.07,0,0,,,
Chris Garner,PG,46,1.391,0.1,0.557,0.328,0.652,0.305,2.287,0.187,0.499,0.304,0,9.596,0.217,1.474,1.574,0.652,0.77,0.757,0.57,0.321,1.9,0.083,0.236,0.487,0,0,,,
John Edwards,C,65,0.1,0.323,0.646,0.439,0.646,0.439,1.446,0.238,0.64,0.415,2.846,6.708,0.423,1.362,1.569,0.1,0.3,1.046,0.646,0.439,1.446,0,0,0,0,0,,,
Vincent Poirier,C,32,0.338,0.369,1.212,0.412,0.644,0.403,1.475,0.269,0.693,0.394,0,5.275,0.6,1.006,1.556,0.069,0.4,1.812,0.575,0.409,1.375,0,0.344,0.1,0,0,,,
James Augustine,PF,27,0.167,0.093,0.63,0.514,0.685,0.514,1.407,0.185,0.463,0.278,0,5.815,0.593,0.722,1.556,0.185,0.185,1.222,0.685,0.514,1.407,0,0,0,0,0,,,
Jay Guidinger,C,64,0.3,0.25,0.9,0.422,0.55,0.422,1.35,0.45,0.617,0.75,2.5,5.4,0.65,1.1,1.55,0.2,0.4,1.5,0.55,0.422,1.35,0,0,0,0,0,,,
Marcus Georges-Hunt,SG,47,0.243,0,0.349,0.466,0.489,0.422,1.132,0.46,0.649,0.66,0,5.757,0.2,0.821,1.549,0.111,0.132,0.549,0.379,0.481,0.821,0.111,0.292,0.4,0,0,,,
Eric Anderson,PF,27,0.2,0.1,0.704,0.357,0.422,0.333,1.263,0.619,0.647,1.004,0,3.085,0.441,0.859,1.544,0.119,0.259,1.144,0.381,0.3,1.222,0.081,0.407,0.081,0,0,,,
Jalen Pickett,SG,28,0.771,0,0.482,0.537,0.579,0.414,1.289,0.096,0.723,0.096,0,4.411,0,0.482,1.543,0.096,0.289,0.482,0.193,0.579,0.386,0.289,0.347,0.904,0,0,,,
Solomon Alabi,C,26,0.2,0.415,1.515,0.287,0.623,0.287,2,0.269,0.471,0.415,0,6.946,0.869,0.615,1.523,0.146,0.354,2.385,0.623,0.287,2,0,0,0,0,0,,,
Reggie Smith,C,66,0.065,0.065,1.017,0.391,0.595,0.391,1.526,0.295,0.383,0.795,5.864,5.802,0.83,0.961,1.521,0.265,0.265,1.812,0.595,0.397,1.491,0,0,0,0,0,,,
Ha Seung-Jin,C,46,0.041,0.3,1.011,0.521,0.617,0.521,1.141,0.3,0.502,0.6,2.348,6.909,0.417,1.335,1.517,0.1,0.541,1.428,0.617,0.521,1.141,0,0,0,0,0,,,
Tito Horford,C,63,0.095,0.444,0.843,0.29,0.516,0.29,1.748,0.421,0.598,0.706,0,5.951,0.451,0.786,1.508,0.07,0.475,1.349,0.516,0.29,1.748,0,0,0,0,0,,,
Jaylen Martin,SF,2,0,0,0,1.5,0.5,1,0.5,0,0,0,0,1.5,0,0.5,1.5,0,0,0,0,0,0,0.5,1,0.5,0,0,,,
Pacome Dadiet,SG,2,0,0,1,0.375,0.5,0.25,2,0,0,0,0,9,0,1,1.5,0,0.5,1,0,0,1,0.5,0.5,1,0,0,,,
Tidjane Salaün,PF,2,1.5,0,1.5,0.25,0.5,0.25,2,0.5,0.5,1,0,12.5,0.5,0.5,1.5,1,0.5,2,0.5,1,0.5,0,0,1.5,0,0,,,
Adam Flagler,SG,6,0.667,0,0.2,1.071,0.5,0.714,1.5,0,0,0,0,3.533,0,0.333,1.5,0.2,0,0.2,0,0,0.167,0.5,0.722,1.333,0,0,,,
Ibou Badji,C,22,0.6,0.9,1.4,0.636,0.6,0.636,1,0.3,0.5,0.5,1,10.3,0.9,2.1,1.5,0.1,0.7,2.3,0.6,0.636,1,0,0,0,0,0,,,
Rob Edwards,SG,2,0,0,1.5,0.375,0.5,0.25,2,0,0,0,0,5.5,0,0,1.5,0,0.5,1.5,0,0,0,0.5,0.25,2,0,0,,,
Vince Edwards,SF,2,0,0,0.5,0.375,0.5,0.25,2,0,0,0,0,8,0.5,0,1.5,0,0,1,0,0,0,0.5,0.25,2,0,0,,,
Ángel Delgado,C,2,0,0,1,0.2,0.5,0.2,2.5,0.5,0.5,1,0,7.5,1,1,1.5,0.5,0,2,0.5,0.2,2.5,0,0,0,0,0,,,
Vince Hunter,PF,4,0,0.3,0.3,0.6,0.8,0.6,1.3,0,0,0,0,1.8,0.5,0,1.5,0,0.3,0.8,0.8,0.6,1.3,0,0,0,0,0,,,
Jerel McNeal,PG,6,0.3,0.2,0.5,0.318,0.5,0.273,1.8,0.3,1,0.3,0,6,0,0.8,1.5,0.5,0.8,0.5,0.3,0.222,1.5,0.2,0.5,0.3,0,0,,,
Patrick Christopher,SG,4,0,0,1,0.25,0.8,0.25,3,0,0,0,1,7.3,0.5,1.5,1.5,0.3,0.3,1.5,0.8,0.375,2,0,0,1,0,0,,,
Scotty Hopson,SG,4,0.75,0,0.25,0.125,0.5,0.125,2.25,0.5,0.375,1,0,8.25,0,0.25,1.5,0.25,0.75,0.25,0.5,0.167,1.5,0,0,0.75,0,0,,,
Noel Felix,SF,12,0.2,0.3,0.8,0.26,0.5,0.24,2.1,0.4,0.625,0.7,0,6.8,0.3,1.1,1.5,0.2,0.7,1.1,0.4,0.227,1.8,0.1,0.333,0.3,0,0,,,
Antoine Rigaudeau,SG,11,0.5,0,0.4,0.243,0.7,0.229,3.2,0,0,0,0,8.3,0.4,1,1.5,0.3,0.5,0.7,0.6,0.233,2.7,0.1,0.2,0.5,0,0,,,
Efthimios Rentzias,C,35,0.2,0.1,0.5,0.373,0.6,0.339,1.7,0.2,0.889,0.3,0,4.1,0.3,0.6,1.5,0.2,0.1,0.7,0.5,0.314,1.5,0.1,0.5,0.2,0,0,,,
Jason Lawson,C,17,0.3,0.2,1.1,0.6,0.5,0.6,0.9,0.5,0.8,0.6,0,4.7,0.5,0.8,1.5,0.2,0.1,1.6,0.5,0.6,0.9,0,0,0,0,0,,,
